# L = 100, p = 5
0 7.313788479347109e-03
1 1.979521461750372e-03
2 8.098804879392008e-04
3 4.044320536909101e-04
4 2.234949102438367e-04
5 1.309615181084406e-04
6 7.968127605524394e-05
7 4.975551213378460e-05
8 3.166013705072594e-05
9 2.043420118022305e-05
10 1.333497752766852e-05
11 8.778633799949894e-06
12 5.820102182168454e-06
13 3.881050567863236e-06
14 2.600483674664034e-06
15 1.749472900829654e-06
16 1.180968857020692e-06
17 7.995197372573674e-07
18 5.426261009536774e-07
19 3.690672054378545e-07
20 2.514901634664546e-07
21 1.716504400704514e-07
22 1.173251748138021e-07
23 8.029479018437036e-08
